PMID,Original_Title,Rule_Based_Title,BART_Title,Hybrid_Title,BLEU_Score
35244319,"The prevalence of Campylobacter spp., Listeria monocytogenes and Shiga toxin-producing Escherichia coli in Norwegian dairy cattle farms: A comparison between free stall and tie stall housing systems.", and its association with gene,Zoonotic bacteria in raw milk from dairy farms with loose housing systems and tie-stall housing and cow hygiene score.,Zoonotic bacteria in raw milk from dairy farms with loose housing systems and tie-stall housing and cow hygiene score.,0.009993852009988863
35366068,Livestock Use on Public Lands in the Western USA Exacerbates Climate Change: Implications for Climate Change Mitigation and Adaptation.,Approach of  in livestock,Cessation of grazing on public lands of the western USA: a cost-effective approach to mitigate climate change.,Cessation of grazing on public lands of the western USA: a cost-effective approach to mitigate climate change.,0.0666081862813988
35342200,Inflammatory Biomarker and Response to Antidepressant in Major Depressive Disorder: a Systematic Review and Meta-Analysis., and its association with protein,Pheripheral cytokine levels at baseline and response to antidepressant therapy in Major Depressive Disorder: A meta-analysis.,Pheripheral cytokine levels at baseline and response to antidepressant therapy in Major Depressive Disorder: A meta-analysis.,0.393755531055134
35197999,"Analysis of Upstream Regulators, Networks, and Pathways Associated With the Expression Patterns of Polycystic Ovary Syndrome Candidate Genes During Fetal Ovary Development.", and its association with gene,Expression of polycystic ovarian syndrome candidate genes across gestation in bovine fetal ovaries.,Expression of polycystic ovarian syndrome candidate genes across gestation in bovine fetal ovaries.,0.052633238435666994
35314179,Influences of charge properties and hydrophobicity on the coagulation of inorganic and organic matters from water associated with starch-based coagulants.,"In this work, two series of binary graft cationic starch-based",Evaluation of cationic starch-based coagulants with different hydrophobicities and charge densities in micropolluted water.,Evaluation of cationic starch-based coagulants with different hydrophobicities and charge densities in micropolluted water.,0.013914095017033194
35268066,Cow's Milk Intake and Risk of Coronary Heart Disease in Korean Postmenopausal Women.,Numerous studies have reported conflicting results associated with cow's milk,Cow's Milk Intake and Coronary Heart Disease Risk in Postmenopausal Women.,Cow's Milk Intake and Coronary Heart Disease Risk in Postmenopausal Women.,0.3315296453846519
35272721,The winner takes it all: dominance of Calicophoron daubneyi (Digenea: Paramphistomidae) among flukes in Central European beef cattle.,"In Europe, paramphistomosis caused by Paramphistomum spp.",Parasitological findings of Calicophoron daubneyi in beef cattle from the Czechia.,Parasitological findings of Calicophoron daubneyi in beef cattle from the Czechia.,0.05871442340966053
35323100,A missense mutation (rs209302038) of KRT9 gene associated with heat stress in Chinese cattle.,Study of  in cattle,A missense mutation in the KRT9 gene is associated with heat stress in Chinese indigenous cattle.,A missense mutation in the KRT9 gene is associated with heat stress in Chinese indigenous cattle.,0.4261082723917018
35448519,"Production of Hydroxy Fatty Acids, Precursors of γ-Hexalactone, Contributes to the Characteristic Sweet Aroma of Beef.",Study of  in cattle,"Characterization of γ-hexalactone, a potential indicator of beef aroma in Japanese Black cattle.","Characterization of γ-hexalactone, a potential indicator of beef aroma in Japanese Black cattle.",0.031021577127506993
35207596,Characterization of Serum Metabolome and Proteome Profiles Identifies SNX5 Specific for Pregnancy Failure in Holstein Heifers.,Detection of  in cattle,Detection of SNX5 in serum from heifers with early pregnancy loss.,Detection of SNX5 in serum from heifers with early pregnancy loss.,0.017891824230337642
35412417,Validation of serum paraoxonase/arylesterase 1 (PON1) as a protein marker of illicit dexamethasone treatment in veal calves.,Detection of  in livestock,Identification of PON1 as a marker of illicit dexamethasone use in veal calves.,Identification of PON1 as a marker of illicit dexamethasone use in veal calves.,0.23526630628048295
35392625,DNA methylation dataset of bovine embryonic fibroblast cells treated with epigenetic modifiers and divergent energy supply., and its association with gene,Genome-wide DNA methylation analysis of bovine embryonic fibroblast cells exposed to four epigenetic modifiers.,Genome-wide DNA methylation analysis of bovine embryonic fibroblast cells exposed to four epigenetic modifiers.,0.274062371732805
35334789,Evaluating the Effects of Diet-Gut Microbiota Interactions on Sleep Traits Using  the UK Biobank Cohort., and its association with variant,Association of Diet and Gut Microbiota Interactions with Sleep: A UK Biobank Cohort Study.,Association of Diet and Gut Microbiota Interactions with Sleep: A UK Biobank Cohort Study.,0.04205499985175034
35324839,PRM1 Gene Expression and Its Protein Abundance in Frozen-Thawed Spermatozoa as Potential Fertility Markers in Breeding Bulls., and its association with protein,Protamine-1 (PRM1) as a fertility marker for bulls in Indonesia.,Protamine-1 (PRM1) as a fertility marker for bulls in Indonesia.,0.013793247918215472
35307348,A single phenylalanine residue in β-arrestin2 critically regulates its binding to G protein-coupled receptors., and its association with protein,"Phe116, a conserved phenylalanine residue, prevents β-arr2 ubiquitination with activated β2-adrenergic receptor.","Phe116, a conserved phenylalanine residue, prevents β-arr2 ubiquitination and promotes β-arrestin2 localization and trafficking.",0.018798317647335087
35282913,"Heat stress during the transition period is associated with impaired production,  reproduction, and survival in dairy cows.",Association of heat stress (hs) exposure during the,"Association of heat stress exposure during the first 90 days postpartum with production, health, reproduction, and survival in dairy cows.","Association of heat stress exposure during the prepartum and postpartum with production, health, reproduction, and survival in Holstein cows.",0.18543829210530705
35291953,"Characterization of runs of homozygosity, heterozygosity-enriched regions, and population structure in cattle populations selected for different breeding goals.",Detection of  in livestock,Genetic diversity in selected cattle populations: a cross-sectional analysis of runs of homozygosity and inbreeding depression.,Genetic diversity in selected cattle populations: a comparison of runs of homozygosity and heterozygosity islands.,0.0661968218608112
35332362,Effects of DGAT1 on milk performance in Sudanese Butana × Holstein crossbred cattle.,Study of  in cattle,A polymorphism of diacylglycerol acyltransferase 1 (DGAT1) in Butana and Its cross with Holstein.,A polymorphism of diacylglycerol acyltransferase 1 (DGAT1) in Butana and Its cross with Holstein.,0.018798317647335087
35450716,Association between genomic daughter pregnancy rates and reproductive parameters  in Holstein dairy cattle., and its association with genomic,Relationship between genomic daughter pregnancy rate and reproduction parameters in Holstein cows.,Relationship between genomic daughter pregnancy rate and reproduction parameters in Holstein cows.,0.29167552921712714
35327183,The Utility of Serological Analysis for Neospora caninum Infection in Dairy Cattle Farms Management: Serological Investigation and Evaluation of the Effects  on Reproductive and Productive Performances in Two Study Herds in Northern Italy.,Study of  in animal,Seroepidemiology of Neospora caninum Infection in Dairy Cattle: A Case Study.,Seroepidemiology of Neospora caninum Infection in Dairy Cattle: A Case Study.,0.04969587753468288
35228409,Leptin receptor expression and its change in association with the normalization of EGF profile after seminal plasma treatment in repeat breeder dairy cows.,Factors associated with high milk production levels have been linked,Transcriptional analysis of leptin receptor (Ob-R) profiles in dairy cattle after seminal plasma treatment.,Transcriptional analysis of leptin receptor (Ob-R) profiles in dairy cattle after seminal plasma treatment.,0.05256566595124865
35305573,Identification of novel alternative splicing associated with mastitis disease in  Holstein dairy cows using large gap read mapping., and its association with gene,Identification of novel mRNA isoforms generated via alternative splicing in milk from Holstein dairy cows with mastitis.,Identification of novel mRNA isoforms generated via alternative splicing in milk from Holstein dairy cows with mastitis.,0.10845665754777516
35231779,Coupled steroid and phosphorus leaching from cattle slurry at lysimeter scale.,Study of  in cattle,The persistence of faecal steroids and phosphorus in sub-surface hydrological pathways during wet weather in organic fertilisers.,The persistence of faecal steroids and phosphorus in sub-surface hydrological pathways during wet weather in organic fertilisers.,0.02432542569851428
35390123,Revealing the genetic basis of eyelid pigmentation in Hereford cattle.,Study of  in cattle,Genome-wide association study reveals the genetic basis of eyelid pigmentation in Hereford cattle.,Genome-wide association study reveals the genetic basis of eyelid pigmentation in Hereford cattle.,0.6479121525090147
35400964,The first study on seroprevalence and risk factors of Neospora caninum infection  in pregnant local cows from Northeast Algeria.,Study of  in cattle,Seroprevalence of Neospora caninum infection in the local Atlas brown cattle from Northeast Algeria.,Seroprevalence of Neospora caninum infection in the local Atlas brown cattle from Northeast Algeria.,0.26939651839759654
35335790,Construction of N-CDs and Calcein-Based Ratiometric Fluorescent Sensor for Rapid  Detection of Arginine and Acetaminophen.,"In our study, a unique ratiometric fluorescent sensor for the",Construction of a novel ratiometric fluorescent sensor for the rapid detection of arginine and acetaminophen in serum.,Construction of a novel ratiometric fluorescent sensor for the rapid detection of arginine and acetaminophen in serum.,0.3898938932918353
35342738,Efficacy of synergistic activity of seed oils from Carthamus tinctorius (Safflower) and Nasturtium officinale (Watercress) on the lethality of the cattle tick Hyalomma scupense (Acari: Ixodidae).,Background: Ticks and tick-borne diseases are a severe economic and,Chemical components of Carthamus tinctorius and Nasturtium officinale seed oils and their anti-tick properties against Hyalomma scupense ticks.,Chemical components of Carthamus tinctorius and Nasturtium officinale seed oils and their anti-tick properties against Hyalomma scupense ticks.,0.058242440448897495
35337023,Environmental Effects on Viable Virus Transport and Resuspension in Ventilation Airflow.,"To understand how SARS-CoV-2 spreads indoors, in this study bovine","Bovine coronavirus (SARS-CoV-2) in a plexiglass chamber with coupons of metal, wood and plastic surfaces.","Bovine coronavirus (SARS-CoV-2) in a plexiglass chamber with coupons of metal, wood and plastic surfaces.",0.015718877363021206
35282903,"Association of housing and management practices with milk yield, milk composition, and fatty acid profile, predicted using Fourier transform mid-infrared spectroscopy, in farms with automated milking systems.", and its association with protein,Association of bulk tank milk composition and fatty acid profile with management and housing factors on Canadian Holstein dairy farms.,Association of bulk tank milk composition and fatty acid profile with management and housing factors on Canadian Holstein dairy farms.,0.05022280781599144
35379858,Recovery of mitogenomes from whole genome sequences to infer maternal diversity in 1883 modern taurine and indicine cattle.,Study of  in livestock,Full Bovine Mitogenome Diversity Reveals a New I1a Subgroup in Cattle.,Full Bovine Mitogenome Diversity Reveals a New I1a Subgroup.,0.008821858171866304
35275284,The association between meat and fish intake by preparation methods and breast cancer in the Carolina Breast Cancer Study (CBCS).,Associations between intake of meat and fish by,Associations between meat preparation methods and breast cancer in the North Carolina Breast Cancer Study.,Associations between meat preparation methods and breast cancer in the North Carolina Breast Cancer Study.,0.3800213082631731
35346462,Integrating heterogeneous across-country data for proxy-based random forest prediction of enteric methane in dairy cattle., and its association with protein,Comparison of multiple linear regressions and predictor variables to predict methane emissions from proxies in dairy cows.,Comparison of multiple linear regressions and predictor variables to predict methane emissions from proxies in dairy cows.,0.028927969316143217
35215125,Molecular Characterization of Bovine Leukemia Virus with the Evidence of a New Genotype Circulating in Cattle from Kazakhstan.,Method of  in cattle,Molecular characterization of bovine leukemia virus (BLV) in cattle from Kazakhstan.,Molecular characterization of bovine leukemia virus (BLV) in cattle from Kazakhstan.,0.3713426189560737
35321292,The migration of the bovine-derived xenograft particles: A case series.,The long-term safety of xenografts and their potential association with,Long-Term Outcome of Bovine Bone Porcine Xenografts and Their Association with Clinical Complications.,Long-Term Outcome of Bovine Bone Porcine Xenografts and Their Association with Clinical Complications.,0.01553712569276035
35268227,Associations between Animal Welfare Indicators and Animal-Related Factors of Slaughter Cattle in Austria.,Study of  in animal,"Prevalence of lameness, dirtiness, and abomasal disorders in slaughter cattle in Austria.","Prevalence of lameness, dirtiness, and abomasal disorders in slaughter cattle in Austria.",0.21586404366478298
35440706,Long-term artificial selection of Hanwoo (Korean) cattle left genetic signatures  for the breeding traits and has altered the genomic structure.,Detection of  in cattle,Long-Term Artificial Selection Affects the Genome Structure of Indigenous Korean Cattle.,Long-Term Artificial Selection Affects the Genome Structure of Indigenous Korean Cattle.,0.046772098516908826
35222335,Identification of Type VI Secretion Systems Effector Proteins That Contribute to  Interbacterial Competition in Salmonella Dublin.,Study of  in cattle,Identification of antibacterial effectors within the Type VI Secretion System (T6SS) gene cluster in Salmonella enterica serotype Dublin.,Identification of antibacterial effectors within the Type VI Secretion System (T6SS) gene clusters in Salmonella enterica serotype Dublin (S. Dublin).,0.07005082462127948
35444687,Genetic Modeling and Genomic Analyses of Yearling Temperament in American Angus Cattle and Its Relationship With Productive Efficiency and Resilience Traits.,Study of  in animal,Genome-wide association analysis of yearling temperament in North American Angus cattle.,Genome-wide association analysis of yearling temperament in North American Angus cattle.,0.11241282151993245
35225175,Identification and dynamic expression profiling of circadian clock genes in Spodoptera litura provide new insights into the regulation of sex pheromone communication.,Spodoptera litura is an important pest that causes significant economic,Identification of circadian clock genes regulating sexual communication in Spodoptera litura.,Identification of circadian clock genes regulating sexual communication in Spodoptera litura.,0.10667710700030884
35405644,Molecular Characterization of Rickettsial Agents in Ticks (Acari: Ixodidae) from  Sri Lanka.,Study of  in cattle,Molecular surveillance of spotted fever group rickettsiae in central Sri Lanka.,Molecular surveillance of spotted fever group rickettsiae in central Sri Lanka.,0.04576989215762564
34509172,Transcriptome analysis reveals key genes and pathways associated with egg production in Nandan-Yao domestic chicken.,Study of  in chicken,Transcriptome analysis of the ovary and uterus of Nandan-Yao chicken (Gallus gallus domesticus).,Transcriptome analysis of the ovary and uterus of Nandan-Yao chicken (Gallus gallus domesticus).,0.033502031395306775
34677025,Induction of General Anesthesia With Alfaxalone in the Domestic Chicken.,Study of  in animal,Evaluation of anesthetic induction and endotracheal intubation of alfaxalone in chickens.,Evaluation of anesthetic induction and endotracheal intubation of alfaxalone in chickens.,0.04740604259878138
35155537,Association Between Dietary Patterns and Different Metabolic Phenotypes in Japanese Adults: WASEDA'S Health Study.,Study of  in chicken,A posteriori dietary pattern is associated with different metabolic phenotypes in middle-aged and elderly Japanese adults.,A posteriori dietary pattern is associated with different metabolic phenotypes in middle-aged and elderly Japanese adults.,0.1760928267911618
34547619,Factors affecting gene expression associated with the skin color of black-bone chicken in Thailand.,Study of  in chicken,"Effect of breed, sex, age, and age on the gene expression of melanocortin 1 receptor, DOPA chrome tautomerase, tyrosinase-related protein 1 (TYRP1) and agouti signaling protein genes in Thai commercial chicken lines.","The effect of breed, sex, age on the gene expression of melanocortin 1 receptor, DOPA chrome tautomerase, tyrosinase-related protein 1 (TYRP1, TYRP1) and agouti signaling protein 1 genes in Thai commercial chicken lines.",0.015721757597198516
35056020,Investigation of the Potential of Heterophil/Lymphocyte Ratio as a Biomarker to Predict Colonization Resistance and Inflammatory Response to Salmonella enteritidis Infection in Chicken.,Study of  in chicken,Heterophil/lymphocyte ratio is associated with robustness and Salmonella-resistance in chicken.,Heterophil/lymphocyte ratio is associated with robustness and Salmonella-resistance in chicken.,0.0181890300065921
35182101,Effects of Lean Pork on Microbiota and Microbial-Metabolite Trimethylamine-N-Oxide: A Randomized Controlled Non-Inferiority Feeding Trial Based on the Dietary Guidelines for Americans.,Study of  in chicken,Consuming pork as a predominant protein does not exacerbate Trimethylamine-N-oxide-response in an omnivorous diet.,Consuming pork as a predominant protein does not exacerbate Trimethylamine-N-oxide-response in an omnivorous diet.,0.009592413546959399
34481002,"ALDH2, ADCY3 and BCMO1 polymorphisms and lifestyle-induced traits are jointly associated with CAD risk in Chinese Han people.",Detection of  in chicken,Genetic and environmental factors associated with coronary artery disease in Chinese Han population.,Genetic and environmental factors associated with coronary artery disease in Chinese Han population.,0.06888941014751689
35123157,Investigating the cecal microbiota in broiler poultry farms and its potential relationships with animal welfare.,Study of  in animal,Modulation of the cecal microbiota and correlations with Campylobacter carriage status and welfare in broilers.,Modulation of the cecal microbiota and correlations with Campylobacter carriage status and welfare in broilers.,0.07779637090949697
35405643,Prevalence of Chagas Disease and Associated Factors in an Endemic Area of Northeastern Argentina.,Study of  in chicken,Prevalence of Trypanosoma cruzi infection in an endemic area of Argentina.,Prevalence of Trypanosoma cruzi infection in an endemic area of Argentina.,0.3176344254228398
35068105,Immune Responses and B Complex Associated Resistance to Infectious Bronchitis Virus in Chickens., and its association with chromosome,Chicken major histocompatibility complex (MHC) immune responses and resistance to infectious bronchitis virus.,Chicken major histocompatibility complex (MHC) immune responses and resistance to infectious bronchitis virus.,0.2891784933232572
34504482,Characterization of a Potent New-Generation Antimicrobial Peptide of Bacillus., and its association with gene,Molecular characterization and characterization of Bacillus paralicheniformis antimicrobial peptide.,Molecular characterization and characterization of Bacillus paralicheniformis antimicrobial peptide.,0.056122223243057295
34852967,MiR-29b-1-5p regulates the proliferation and differentiation of chicken primary myoblasts and analysis of its effective targets.,Detection of  in chicken,MiR-29b-1-5p inhibits the proliferation of primary chicken myoblasts by directly binding the 3'UTR of ANKRD9.,MiR-29b-1-5p inhibits the proliferation of primary chicken myoblasts by directly binding the 3'UTR of ANKRD9.,0.03698141786950922
34928784,"Insulin-like growth factor 2 (IGF2) gene: molecular characterization, expression  analysis and association of polymorphisms with egg production traits in goose (Anser cygnoides).",Study of  in chicken,Identification and characterization of the goose IGF2 cDNA.,Identification and characterization of the goose IGF2 cDNA.,0.006352397262433491
34512716,The Potential of Toll-Like Receptors to Modulate Avian Immune System: Exploring the Effects of Genetic Variants and Phytonutrients., and its association with genomic,Toll-like receptors (TLRs) in the immune response to pathogens in chicken.,Toll-like receptors (TLRs) in the immune response to pathogens in chicken.,0.02652723531688302
35278017,A carvacrol-based product reduces Campylobacter jejuni load and alters microbiota composition in the caeca of chickens.,Study of  in chicken,A carvacrol-based product reduces caecal load in broiler chickens.,A carvacrol-based product reduces caecal load in broiler chickens.,0.15771836956860913
35276495,"In pursuit of a better broiler: tibial morphology, breaking strength, and ash content in conventional and slower-growing strains of broiler chickens.",Differences in bone traits in 14 strains of,Differences in bone traits in broiler chickens differing in growth rate.,Differences in bone traits in broiler chickens differing in growth rate.,0.009995070296663813
35334925,"Efficacy of the Nutritional Risk Index, Geriatric Nutritional Risk Index, BMI, and GLIM-Defined Malnutrition in Predicting Survival of Patients with Head and Neck Cancer Patients Qualified for Home Enteral Nutrition.",Malnutrition is a poor prognostic factor in cancer disease.,Association between nutritional status at the time of qualification for home enteral nutrition and survival of patients with head and neck cancer.,Association between nutritional status at the time of qualification for home enteral nutrition and survival of patients with head and neck cancer.,0.24452634528963804
35175959,Restricted dietary pattern may contribute to lowering blood pressure in adolescents with obesity: Study of Cardiovascular Risk in Adolescents.,Method of  in chicken,Dietary patterns and their association with blood pressure in adolescents.,Dietary patterns and their association with blood pressure in adolescents.,0.0558914605175438
34585996,Pigment concentrations in eggshell and their related gene expressions in uterus of Changshun blue eggshell chickens., and its association with gene,"Expression of HO-1, ferrochelatase 1 and biliverdin reductase A genes in eggshell gland of Changshun blue-shell chickens.","Expression of HO-1, ferrochelatase 1, haem oxygenase 1 and biliverdin reductase A in eggshell gland of Changshun blue-shell chickens.",0.03370129264673146
34954808,The light response in chickens divergently selected for feather pecking behavior  reveals mechanistic insights towards psychiatric disorders.,Study of  in animal,Dicer1 downregulates micro RNA processing in the brains of high and low feather pecking chickens.,Dicer1 downregulates micro RNA processing in the brains of high and low feather pecking chickens.,0.029091967494005277
34460062,Genomic organization and hypoxia inducible factor responsive regulation of teleost hsp90β gene during hypoxia stress., and its association with protein,Hsp90β gene expression in Channa striatus (Siluriformes: Ixodidae).,"Hsp90β gene expression in Channa striatus, a freshwater fish, and its association with transgenic zebrafish.",0.030934588294313718
35268126,Identification and Protective Efficacy of Eimeria tenella Rhoptry Kinase Family Protein 17.,Study of  in animal,Expression of the rhoptry kinase family protein 17 of Eimeria tenella and its protective efficacy in chickens.,Expression of the rhoptry kinase family protein 17 of Eimeria tenella and its protective efficacy in chickens.,0.23693055763743093
34573562,RNA Profiles of the Korat Chicken Breast Muscle with Increased Carnosine Content  Produced through Dietary Supplementation with β-Alanine or L-Histidine.,Study of  in chicken,Transcriptome analysis of porat chicken breast muscles reveals differentially expressed genes associated with meat tenderness.,Transcriptome analysis of porat chicken breast muscles reveals differentially expressed genes associated with meat tenderness.,0.02381848845488711
35310118,Diagnostic Laparoscopy for Ovarian Tumor Due to Salmonella Infection., and its association with protein,Association of Salmonella infection with a tubo-ovarian abscess in a patient with enteritis.,Association of Salmonella infection with a tubo-ovarian abscess in a patient with enteritis.,0.01553712569276035
34988376,Association of insulin-like growth factor 1 (IGF1) gene polymorphism with the reproductive performance of three dual-purpose chicken breeds.,Identification of  in chicken,Association of Insulin-like Growth Factor 1 (IGF1) gene polymorphism with the reproductive performance of dual-purpose chicken breeds.,Association of Insulin-like Growth Factor 1 (IGF1) gene polymorphism with the reproductive performance of dual-purpose chicken breeds.,0.8428014430784181
35090599,Mapping the invisible chromatin transactions of prophase chromosome remodeling.,"We have used a combination of chemical genetics, chromatin proteomics,",An interactive proteomic map of chromatin transactions during mitotic entry in chicken DT40 CDK1as cells.,An interactive proteomic map of chromatin transactions during mitotic entry in chicken DT40 CDK1as cells.,0.030934588294313718
34461467,Small-scale commercial chicken production: A risky business for farmers in the Mekong Delta of Vietnam.,Approach of  in chicken,"Financial and economic parameters of small-scale farming of native chicken flocks in Dong Thap province, Vietnam.","Financial and economic parameters of small-scale farming of native chicken flocks in Dong Thap province, Vietnam.",0.01839381624963888
34928895,Overactive Bladder or Anxiety: Which Came First?,Approach of  in chicken,Bidirectional Association Between OAB and Anxiety: A Review.,Bidirectional Association Between OAB and Anxiety: A Review.,0.02777619034011792
34890302,"Associations of CALM1 and DRD1 polymorphisms, and their expression levels, with Taihang chicken egg-production traits.",Study of  in chicken,Association of CALM1 and DRD1 gene polymorphisms with egg production in Taihang chicken.,Association of CALM1 and DRD1 gene polymorphisms with egg production in Taihang chicken.,0.18349818317455793
34816300,Evaluation of immunoprotective effects of recombinant proteins and DNA vaccines derived from Eimeria tenella surface antigen 6 and 15 in vivo.,Analysis of  in chicken,Immunoprotection of Eimeria tenella surface antigen 6 and 15 with recombinant proteins and DNA vaccines.,Immunoprotection of Eimeria tenella surface antigen 6 and 15 with recombinant proteins and DNA vaccines.,0.3906782052454083
34475461,Indicators of the molecular pathogenesis of virulent Newcastle disease virus in chickens revealed by transcriptomic profiling of spleen., and its association with genotype,Transcriptomic analysis of spleen of Newcastle disease virus (NDV-GVII) in chickens challenged with a lymphotropic virus.,Transcriptomic analysis of spleen of Newcastle disease virus (NDV-II) in chickens challenged with a lymphotropic virus.,0.07597930956956699
34471977,Epidemiology of Neospora caninum infection in free-range chickens (Gallus gallus  domesticus) in north central Mexico.,Epidemiology of natural infection by n,"Epidemiology of natural infection by N. caninum in free-range chickens from Aguascalientes, Mexico.","Epidemiology of natural infection by N. caninum in free-range chickens from Aguascalientes, Mexico.",0.09324143609786699
34923247,Baculovirus-derived influenza virus-like particle confers complete protection against lethal H7N9 avian influenza virus challenge in chickens and mice.,Study of  in chicken,Immunization of H7N9 influenza virus-like particle with baculovirus expression system and its efficacy in chickens and mice.,Immunization of H7N9 influenza virus-like particle with baculovirus expression system and its efficacy in chickens and mice.,0.20186058503186388
34600571,Microbial taxa in dust and excreta associated with the productive performance of  commercial meat chicken flocks.,Study of  in chicken,Bacterial signatures of high and low performing commercial meat chicken farms in Australia.,Bacterial signatures of high and low performing commercial meat chicken farms in Australia.,0.0726012648714618
34546051,Searching for Hydrodynamic Orienting Effects in the Association of Tri-N-acetylglucosamine with Hen Egg-White Lysozyme.,"Using stopped-flow fluorometry, we determined rate constants for the formation",Quantification of ionic strength dependence of the binding anisotropy of tri-N-acetylglucosamine with hen egg-white lysozyme.,Quantification of ionic strength dependence of the binding anisotropy of tri-N-acetylglucosamine with hen egg-white lysozyme.,0.33649324423301513
34650121,Transcriptomics of chicken cecal tonsils and intestine after infection with low pathogenic avian influenza virus H9N2., and its association with gene,Transcriptome analysis of ileum and cecal tonsils after infection with low pathogenic avian influenza virus H9N2.,Transcriptome analysis of ileum and cecal tonsils after infection with low pathogenic avian influenza virus H9N2.,0.5791460926441345
35421830,Construction and immune efficacy of a recombinant turkey herpesvirus vaccine strain expressing fusion protein of genotype VII Newcastle disease virus., and its association with protein,Construction and Immunization of HVT-NDV-opti F Vaccine against Newcastle Disease Virus in Chickens.,Construction and Immunization of HVT-NDV-opti F Vaccine against Newcastle Disease Virus in Chickens.,0.030013394435730034
35237677,Smallholder Broiler Farmers' Characteristics to Uptake Measures Against Highly Pathogenic Avian Influenza in Western Java.,Study of  in animal,Farm characteristics and their associations with HPAI control policy in Western Java smallholder broiler farms.,Farm characteristics and their associations with HPAI control policy in Western Java smallholder broiler farms.,0.04179882049216857
34883322,Ascaridia galli challenge model for worm propagation in young chickens with or without immunosuppression.,"With the continued growth of free-range egg production, the importance","Pathogenicity of Ascaridia galli in young chickens by immunosuppression with dexamethasone, cyclophosphamide or sham.","Pathogenicity of Ascaridia galli in young chickens by immunosuppression with dexamethasone, cyclophosphamide or sham.",0.09669265690880861
35345851,Time-Course Transcriptional and Chromatin Accessibility Profiling Reveals Genes Associated With Asymmetrical Gonadal Development in Chicken Embryos.,Study of  in chicken,Molecular insights into the asymmetric development of chicken gonads.,Molecular insights into the asymmetric development of chicken gonads.,0.013101694097607006
34567487,Clinical Effect Analysis of Laparoscopic Surgery for Gastric Tumor under Data Mining.,Method of  in chicken,Comparison of the feasibility of laparoscopic local gastrectomy for the treatment of benign gastric tumors.,Practical feasibility of laparoscopic local gastrectomy for the treatment of benign gastric tumors in patients with gastric benign tumor.,0.02560744480557418
34774358,A novel DNA platform designed for vaccine use with high transgene expression and  immunogenicity., and its association with gene,Expression of exogenous genes in mammalian cells by a plasmid vector derived from pVax1.,Expression of exogenous genes in mammalian cells by a plasmid vector derived from pVax1.,0.0169861974906263
35431079,Worm control practices on free-range egg farms in Australia and anthelmintic efficacy against nematodes in naturally infected layer chickens.,This study investigated worm control practices by free-range egg farmers,"Efficacy of the commercial anthelmintics levamisole, piperazine, flubendazole (FLBZ) and fluenzole against gastrointestinal nematodes on free-range egg producers in Australia.","Efficacy of the commercial anthelmintics levamisole, piperazine, flubendazole and fenbendazol against gastrointestinal nematodes on free-range egg producers in Australia.",0.06439931429457921
34585985,Development of an Inactivated H7N9 Subtype Avian Influenza Serological DIVA Vaccine Using the Chimeric HA Epitope Approach., and its association with protein,Identification of a H7N9 avian influenza virus hemagglutinin subunit 2 glycoprotein (HA2) peptide chip and antisera as a DIVA vaccine candidate.,Identification of a H7N9 avian influenza virus hemagglutinin subunit 2 glycoprotein (HA2) peptide chip with H7-12 peptide as a DIVA vaccine.,0.024289783953423513
35125917,"Evaluation of Commercial 6-Phytases on Growth Performance, Bone Mineral Content,  and Feed Digestibility of Broiler Chicks.", and its association with protein,"Effects of phytases on broiler technical performance, tibia ash, and feed digestibility.","Effects of phytases on broiler technical performance, tibia ash, and feed digestibility.",0.0339679138324217
34844112,Epididymal mRNA and miRNA transcriptome analyses reveal important genes and miRNAs related to sperm motility in roosters.,Study of  in chicken,Integrated analysis of cDNA libraries and miRNA transcriptome in roosters with diverse sperm motility in the epididymis.,Integrated analysis of cDNA libraries and miRNA transcriptome in roosters with diverse sperm motility in the epididymis.,0.09574437304762153
35095857,Differential Virus-Specific IFN-Gamma Producing T Cell Responses to Marek's Disease Virus in Chickens With B19 and B21 MHC Haplotypes.,"Marek's disease virus (MDV), the etiologic agent for Marek's disease",Frequency of IFN-gamma producing p38 and MEQ-specific T cell responses in Marek's disease virus-resistant chickens.,Frequency of IFN-gamma producing p38 and MEQ-specific T cell responses in Marek's disease virus-resistant chickens.,0.07842017192231883
35400313,Genome-wide association studies and haplotype sharing analysis targeting the growth traits in Yandang partridge chickens.,Method of  in chicken,Genome-wide association studies for growth traits in Yandang partridge chicken.,Genome-wide association studies for growth traits in Yandang partridge chicken.,0.3186602782541458
35189072,Identification of nucleotide polymorphisms in the key promoter region of chicken  annexins A2 gene associatied with egg laying traits.,Study of  in chicken,Polymorphisms in the promoter region of chicken ANXA2 gene and their association with egg laying traits.,Polymorphisms in the promoter region of chicken ANXA2 gene and their association with egg laying traits.,0.3192029787618873
35432481,Transcriptome Analysis Reveals miR-302a-3p Affects Granulosa Cell Proliferation by Targeting DRD1 in Chickens.,Study of  in chicken,Transcriptome analysis of small yellow follicle in high- and low-yielding Taihang layer hens.,Transcriptome analysis of small yellow follicle in high- and low-yielding Taihang layer hens.,0.036362270465000714
34584942,Transcriptomic profile of leg muscle during early growth and development in Haiyang yellow chicken.,Study of  in chicken,Transcriptome analysis of chicken skeletal muscle reveals candidate genes for early growth in Haiyang yellow chicken.,Transcriptome analysis of chicken skeletal muscle reveals candidate genes for early growth in Haiyang yellow chicken.,0.195647514979229
